Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_1M_percentile,ROC_3M_percentile,ROC_12M_percentile,RSI_percentile,Volatility_60_percentile,Volume_Ratio_percentile,market_cap_current_percentile,ROC_6M_percentile,beta_percentile,dividend_yield_percentile,TTM_Revenue_percentile,Net_Income_Growth_QoQ_percentile,Net_Income_percentile,Interest_Expense_percentile,Gross_Profit_percentile,composite_score,quality_quintile
2026-05-31,340.5,346.8999938964844,318.20001220703125,341.0,3079832,0.05425873282000526,-0.06919613943271707,,,0.40157234069636993,53.2865331890093,0.6129482310620346,,0,6696200000.0,414200000.0,-494900000.0,931800000.0,875800000.0,901100000.0,-58800000.0,33400000.0,0.061855978017383,-0.0739075893790508,0.13456885995041964,0.13915354977449898,82948300000.0,6622900000.0,46678500000.0,36268700000.0,66226800000.0,46440000000.0,793400000.0,51753600000.0,0.18260648989348943,0.07984370987711623,1.4260723514211886,0.31165374677002583,0.4583587420507014,-0.17239162380602502,3.00298900047824,-5.006669630947088,29.550819672131148,11699900000.0,3353100000.0,-1471600000.0,3758800000.0,0.09245161806185499,0.04042397493378406,-0.03430974829570359,1.0,1.0742882012048467,72749867008.0,0.065,1.03,MAHLIFE.NS,,,,,0.16290238376374988,78.76106194690266,32.47787610619469,,72.53333333333333,69.73451327433628,16.53333333333333,67.31967943009795,,20.360262008733624,65.84821428571429,49.203373945641985,37.173717371737176,72.57194244604317,44.308560677328316,29.88505747126437,50.44739504204408,Q3 (Medium)
2026-05-31,178.72999572753906,189.0,166.2100067138672,170.3800048828125,1141638,-0.047890428676052976,-0.11408070718518193,,,0.32864091106989735,36.57865438016993,0.7402095833993375,,0,845030000.0,688736000.0,261774000.0,380665000.0,326312000.0,240018000.0,72347000.0,13947000.0,0.8150432529022639,0.30978071784433686,0.28403488633539636,0.45047513106043574,,,,,,,,,,,,,-0.07039142282267552,-0.10373155785912469,-0.07440531283442087,0.0359132832967195,0.08355251172746736,3100017000.0,1018299000.0,986197000.0,1521711000.0,,,,0.0,,18912180224.0,0.368,4.4,LAOPALA.NS,,,,,0.33426596363001965,34.24778761061947,18.849557522123895,,26.311111111111114,87.61061946902655,29.15555555555556,48.26357969723954,,51.47379912663755,96.35416666666666,24.36738519212746,43.024302430243026,53.507194244604314,29.53904045155221,40.13409961685824,45.522546579624375,Q2 (Low)
2026-05-31,258.1000061035156,267.5,225.60000610351562,229.35000610351562,452237,-0.14219990914465863,-0.26111465652927235,,,0.4647384871948976,15.186945042000858,1.1070994667377236,,0,248540000.0,86893000.0,74509000.0,76180000.0,75659000.0,37639000.0,8550000.0,29470000.0,0.3496137442665165,0.2997867546471393,0.15144041200611572,0.30651001850808723,1944002000.0,967175000.0,1194524000.0,749478000.0,1700283000.0,329050000.0,4578000.0,1297589000.0,1.2904648301884778,0.4975174922659545,5.167248138580763,1.2238079319252393,-0.13323987082644573,0.6924010791366906,,,,,,,,,,,0.0,1.514619583724708,11488729088.0,-0.109,,LGHL.NS,,,,,0.6132646675460504,4.867256637168142,2.566371681415929,,1.4222222222222223,52.38938053097345,68.97777777777779,40.516473731077475,,9.27947598253275,,,81.998199819982,30.39568345323741,41.29821260583255,14.942528735632186,36.57690554519013,Q1 (Lowest)
2026-05-31,447.95001220703125,507.29998779296875,406.25,426.79998779296875,30305376,-0.07065870921509254,0.04800488101404232,,,0.502521254911293,38.23421479932984,1.151544807693526,,0,7958089000.0,4047470000.0,2522333000.0,3053230000.0,2666020000.0,1452875000.0,585098000.0,526144000.0,0.5085982325656323,0.3169520974193679,0.18256581448134093,0.38366371625147694,98820637000.0,51969517000.0,66087112000.0,30340037000.0,33446435000.0,20407278000.0,1155847000.0,14491323000.0,1.7129022288272093,0.5258974094651909,1.6389464092173391,0.9288407792553225,0.20058634665871722,0.1549030767738786,0.3976038334449987,0.46553280685278753,0.8020555933291782,26958999000.0,4916796000.0,8254220000.0,10061033000.0,0.16205636136831342,0.04975474910164766,0.10028264762557212,1.0,0.9500030363091061,84225163264.0,0.487,0.2,KPIGREEN.NS,,,,,0.3811098561173095,23.893805309734514,63.45132743362832,,30.31111111111111,41.06194690265487,73.15555555555555,69.1006233303651,,67.03056768558952,14.806547619047619,67.76007497656981,64.62646264626463,78.77697841726618,85.98306679209784,75.67049808429118,57.041904390945085,Q4 (High)
2026-05-31,529.9500122070312,560.7000122070312,451.95001220703125,473.25,333466,-0.08124631638417812,0.07495741056218064,,,0.36866449348160824,28.49634874426407,0.6769596629140578,,0,2906705000.0,1377922000.0,711017000.0,807507000.0,738975000.0,485516000.0,151672000.0,101787000.0,0.47404948214559095,0.24461271439654178,0.16703311825589456,0.2778083775271312,16799079000.0,6912306000.0,7997163000.0,8801916000.0,6832899000.0,5474257000.0,3042000.0,6418187000.0,0.7853183329629594,0.41146934305148514,1.2481874709207113,0.07575676479931431,-0.019396133660391945,0.9354447788563114,-0.18168816818338573,-0.32100887344330153,-0.3051545469173653,12445371000.0,635076000.0,1173393000.0,1505062000.0,0.07215201781066759,0.03780421533823372,0.0746707663923801,1.0,1.7165846591947094,6668864000.0,0.051,2.64,MAGADSUGAR.NS,,,,,0.26260341377664975,18.938053097345133,70.17699115044248,,11.377777777777778,79.38053097345133,23.200000000000003,31.611754229741763,,19.486899563318776,89.13690476190477,50.42174320524836,85.95859585958596,63.48920863309353,65.6632173095014,53.9272030651341,50.85125864176969,Q3 (Medium)
2026-05-31,3975.173095703125,4099.459154130804,3809.788425575631,3926.60009765625,40768018,-0.021989459390926225,-0.07356587894330657,,,0.4025917330243818,35.397549545958995,0.8640892874781676,,0,827621600000.0,252200700000.0,74423100000.0,102575000000.0,90895500000.0,53256000000.0,20927500000.0,6792700000.0,0.30472948023589524,0.0899240667474121,0.06434824803992549,0.12393949118776021,4525498800000.0,1254970400000.0,3240194200000.0,1092898000000.0,3183113200000.0,2544975100000.0,153912400000.0,95309300000.0,1.1482959983456829,0.27731095630828584,1.2507443393061095,1.21329434618044,0.15832760669393986,0.6564285514336989,0.2798051827355137,0.5855473913613034,0.42016741568989047,2922830600000.0,176551600000.0,262218600000.0,366021600000.0,0.16154444422077816,0.03901262773509077,0.11168368721177047,1.0,1.2194476043171196,5401698893824.0,0.493,0.97,LT.NS,,,,,0.5986896015679014,47.07964601769912,31.150442477876105,,23.288888888888888,69.38053097345133,43.2,99.64381121994657,,67.74017467248909,62.351190476190474,99.71883786316776,81.54815481548154,98.65107913669064,94.9200376293509,99.71264367816092,67.89236252329289,Q5 (Highest)
2026-05-31,12.0,12.899999618530273,11.3100004196167,12.4399995803833,522986,0.051563792105769224,0.19271325181170673,,,0.37344545850529626,47.849438383142314,0.7339264740637587,,0,203306000.0,50489000.0,22181000.0,22538000.0,22182000.0,17479000.0,653000.0,4050000.0,0.24833994077892438,0.10910155135608393,0.08597385222275782,0.11085752510993281,1048365000.0,143277000.0,228404000.0,819961000.0,857650000.0,212315000.0,93249000.0,297400000.0,0.17473635941221594,0.13666709590648296,4.039516755763842,2.63876786849728,,,,,,,,,,,,,0.0,1.9034859042413663,327726560.0,0.202,,LIBAS.NS,,,,,0.14872389566167377,78.05309734513274,86.3716814159292,,58.044444444444444,77.9646017699115,28.62222222222222,3.383793410507569,,32.25982532751092,,,,24.820143884892087,16.462841015992474,11.015325670498084,44.46653176713609,Q2 (Low)
2026-05-31,5.300000190734863,5.75,4.710000038146973,4.920000076293945,421408,-0.08208956086946273,-0.08550186400781801,,,0.5321523109515168,14.084550554440327,0.4893493407703293,,0,46390000.0,1866000.0,717000.0,13153000.0,12621000.0,12621000.0,0.0,0.0,0.040224186247036,0.015455917223539556,0.27206294460012936,0.283530933390817,,,,,,,,,,,,,3.032510431154381,51.80753138075314,0.6812234987134418,86.04137931034482,18.06231884057971,183000000.0,-139775000.0,612000.0,-137845000.0,,,,0.0,,145061280.0,0.499,,LYPSAGEMS.NS,,,,,0.30812964714556185,18.672566371681416,28.230088495575224,,1.2444444444444445,33.89380530973452,7.822222222222222,1.068566340160285,,68.88646288209607,,5.810684161199625,99.54995499549955,22.571942446043167,1.2229539040451554,4.21455938697318,29.545883397311652,Q1 (Lowest)
2026-05-31,1764.4000244140625,1846.0,1636.0999755859375,1737.300048828125,10172071,0.023265401616205716,0.4776729786341123,,,0.45253533568643306,41.851655781455094,0.8522669727036616,,0,59953700000.0,37767200000.0,23209500000.0,25790700000.0,23547200000.0,14195000000.0,6570600000.0,1675600000.0,0.6299394365985752,0.38712373047868603,0.23676603779249655,0.43017695321556465,416498700000.0,207163600000.0,273838200000.0,138708900000.0,98239000000.0,120979600000.0,21218600000.0,26596000000.0,1.4935133938773937,0.4973931491262758,0.8120294661248674,0.5921907495147942,0.22120715854140438,0.35527358481558924,4.069394415977542,6.0314047949276794,8.199136824083322,168224300000.0,36808400000.0,55346300000.0,63545000000.0,0.2653643709956607,0.08837578604687121,0.1600193713001178,1.0,0.9912006928232908,977329061888.0,0.219,0.06,LLOYDSME.NS,,,,,0.1924879605022322,69.73451327433628,97.69911504424779,,39.28888888888889,55.663716814159294,41.51111111111111,93.67764915405165,,33.67903930131004,3.050595238095238,91.84629803186503,74.43744374437443,95.32374100719424,92.38005644402634,96.26436781609196,65.63710239131683,Q5 (Highest)
2026-05-31,932.0,1126.9000244140625,854.0999755859375,860.75,12306688,-0.10821592507877753,-0.2532748881225062,,,0.50846069398046,41.60599090928814,1.7438050895671835,,0,1450400000.0,1038500000.0,568500000.0,812800000.0,733700000.0,507700000.0,222900000.0,1500000.0,0.7160093767236624,0.3919608383894098,0.35004136789851076,0.5603971318257033,10360400000.0,70400000.0,1308100000.0,9049500000.0,5667100000.0,1152900000.0,611000000.0,172100000.0,0.007779435327918669,0.006795104436122157,4.915517390927227,4.766241651487553,0.5482493595217763,1.7048481619605753,0.010379658655520707,0.04529544986617262,0.038058748403575926,4741000000.0,1341600000.0,1451000000.0,2211700000.0,0.1482512846013592,0.12949306976564612,0.15910262173927345,1.0,2.4370246322535807,47135580160.0,,0.41,MAPMYINDIA.NS,,,,,0.6353601144342265,10.619469026548673,2.743362831858407,,38.666666666666664,39.557522123893804,94.4888888888889,61.264470169189664,,,31.770833333333332,29.990627928772255,91.62916291629163,64.29856115107914,9.0310442144873,48.371647509578544,44.82881711737256,Q2 (Low)
