Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,Volatility_60_percentile,ROC_12M_percentile,ROC_3M_percentile,RSI_percentile,ROC_6M_percentile,ROC_1M_percentile,Volume_Ratio_percentile,market_cap_current_percentile,Net_Income_Growth_YoY_percentile,Revenue_Growth_YoY_percentile,Interest_Expense_percentile,beta_percentile,TTM_Revenue_percentile,Net_Income_Growth_QoQ_percentile,Gross_Margin_percentile,composite_score,quality_quintile
2026-04-30,1685.0,1770.0,1655.0,1680.0999755859375,718036,-0.026028999660326124,-0.08226360386885623,,,0.4170369632312519,42.59961734339338,0.2816224394801813,,0,4037060000.0,2417590000.0,222180000.0,613740000.0,374080000.0,197080000.0,121480000.0,55520000.0,0.5988491625093508,0.05503509980034976,0.048817703972693,0.15202647471179523,,,,,,,,,,,,,-0.004065582182487426,-0.5614499655088008,-0.013587706802649646,-0.6367055006636189,-0.40865996068909705,16744620000.0,2018910000.0,2257910000.0,3765410000.0,,,,0.0,,126222041088.0,0.433,0.12,TEGA.NS,,,,,0.3790364828231097,69.62890625,,29.638671875,2.546523016650343,,6.73828125,1.2732615083251715,78.11579980372915,21.439432336543334,25.925925925925924,54.9740932642487,76.81890600106213,59.700722394220854,23.26388888888889,78.98395721925134,41.93655798225639,Q2 (Low)
2026-04-30,168.24000549316406,205.38999938964844,167.5,195.80999755859375,5648203,0.12295694810908975,-0.028912923272672808,,,0.6030903074870348,73.02394747793392,0.47210181463966905,,0,4158500000.0,776500000.0,-377400000.0,-111200000.0,-337700000.0,-465700000.0,-86900000.0,214900000.0,0.186725982926536,-0.09075387760009619,-0.11198749549116267,-0.02674041120596369,,,,,,,,,,,,,-0.0662819678020522,0.39514679448771717,-0.06895779693272142,0.10828177058543553,-0.4445554445554446,18218100000.0,-1539700000.0,-1078900000.0,-129800000.0,,,,0.0,,23605438464.0,-0.066,,TIRUMALCHM.NS,,,,,0.3928667576881967,20.5078125,,44.04296875,61.01860920666014,,56.591796875,5.8765915768854065,54.121687929342485,57.62797769893563,19.444444444444446,76.89119170984456,22.703133297928836,61.50670794633643,78.86904761904762,14.705882352941178,44.927190127157786,Q2 (Low)
2026-04-30,103.80000305175781,138.52000427246094,103.80000305175781,126.58999633789062,410447,0.1190770267349166,-0.008614661151881364,,,0.4342292751477576,74.34925142735739,0.61870943723881,,0,3015038000.0,267826000.0,41395000.0,113934000.0,66298000.0,16589000.0,5113000.0,44596000.0,0.08883005786328398,0.013729511866848777,0.005502086540866152,0.03778857845241088,,,,,,,,,,,,,0.0700624780844028,0.16939235866347113,0.21943089088920664,-0.5161158591721844,0.1609570197069432,11020293000.0,106556000.0,255906000.0,414862000.0,,,,0.0,,2400455680.0,0.427,,VSTL.NS,,,,,0.3418052072221039,65.869140625,,49.755859375,65.23016650342801,,55.029296875,14.495592556317336,20.019627085377824,25.13938165230613,69.75308641975309,50.984455958549226,76.42060541688794,51.23839009287926,68.25396825396825,6.149732620320856,47.889286895652525,Q3 (Medium)
2026-04-30,1680.0,1921.0,1450.0,1818.4000244140625,14947884,0.06426316890849226,0.02862313281384976,,,0.3973428443329698,77.96414798212082,1.1554759010912257,,0,29253100000.0,6679000000.0,1748700000.0,1755700000.0,1297100000.0,806600000.0,270700000.0,220900000.0,0.22831768257039425,0.05977827990879599,0.02757314609391825,0.060017570787369544,,,,,,,,,,,,,-0.019092966719758575,-0.3331679894179894,0.2853081776481132,-0.16145129431333816,0.04799140452456285,126189200000.0,5278300000.0,7923100000.0,9141600000.0,,,,0.0,,373849653248.0,0.168,0.49,BLUESTARCO.NS,,,,,0.3524288558343686,75.0,,60.986328125,76.54260528893242,,31.73828125,74.38785504407444,89.35230618253189,38.67207298530157,77.9835390946502,77.2020725388601,45.884227296866705,90.76367389060887,31.25,20.427807486631018,59.34605127889715,Q4 (High)
2026-04-30,39.189998626708984,44.34000015258789,38.5,42.43000030517578,5065743,0.10638857870640872,0.12397351801790157,,,0.31503248908723885,65.52899927828918,1.0818849135776727,,0,3210378000.0,692242000.0,272990000.0,368870000.0,276597000.0,137579000.0,23718000.0,115300000.0,0.21562632188483724,0.08503360040468755,0.042854455145157365,0.11489924239450931,,,,,,,,,,,,,-0.2308373470031705,-1.4276105787610454,0.22223707008304516,2.0401511468599463,0.6267767443296333,16051771000.0,189352000.0,663610000.0,950435000.0,,,,0.0,,4773374976.0,0.043,,UGARSUGAR.NS,,,,,0.31939809246165735,91.455078125,,79.78515625,33.98628795298727,,49.12109375,68.41332027424095,28.753680078508342,92.04257475924987,70.47325102880659,68.08290155440415,32.873074880509826,59.23632610939112,9.027777777777777,17.967914438502675,53.4145624652919,Q4 (High)
2026-04-30,6.46999979019165,8.039999961853027,6.340000152587891,6.980000019073486,4055541,-0.09232770258308698,0.15181519554139933,,,0.7912971906857794,52.05479750320287,0.8144810616399145,,0,505964000.0,103939000.0,-16449000.0,23499000.0,5978000.0,1450000.0,0.0,4528000.0,0.20542765888482184,-0.0325102181182851,0.0028658165403072154,0.046444015779778795,,,,,,,,,,,,,-0.1802799559328624,-0.9775513995541244,-0.32854879249619795,-0.9939741261443965,-0.92127427200729,2530533000.0,77842000.0,34705000.0,268215000.0,,,,0.0,,3371472640.0,0.35,,VARDMNPOLY.NS,,,,,0.4155206560915042,2.63671875,,83.203125,9.20666013712047,,1.611328125,36.67972575905974,24.190382728164867,14.09021794221997,6.018518518518518,18.44559585492228,68.8794476898566,23.632610939112485,13.541666666666666,16.791443850267378,27.92849613072726,Q1 (Lowest)
2026-04-30,54.0,81.30000305175781,53.9900016784668,75.69000244140625,1323634,0.23878894159816966,0.22694122428843588,,,0.6606616361723503,82.63938552415273,0.7761938606574882,,0,524605000.0,74907000.0,-29358000.0,-2601000.0,-23080000.0,-70562000.0,40661000.0,6821000.0,0.14278743054297996,-0.05596210482172301,-0.1345050085302275,-0.0049580160311091205,,,,,,,,,,,,,0.13544967361002902,-36.26336831584208,0.48895921437288914,-4.008912199906187,-1.1181198910081744,2032714000.0,-43313000.0,50366000.0,52505000.0,,,,0.0,,4110913280.0,0.017,,VALIANTLAB.NS,,,,,0.34123715991565146,11.865234375,,89.501953125,88.050930460333,,86.71875,31.68462291870715,26.44749754661433,4.054738976178409,89.24897119341564,22.2279792746114,30.27084439723845,21.001031991744064,0.3472222222222222,10.053475935828878,40.76488349445957,Q2 (Low)
2026-04-30,14.800000190734863,25.239999771118164,14.800000190734863,23.040000915527344,5632858,0.3317920191678623,-0.18036284541940495,,,0.766790147151204,62.71036369192999,0.9409526446890625,,0,507759000.0,132660000.0,30420000.0,41933000.0,35602000.0,9271000.0,4383000.0,21948000.0,0.26126567919032456,0.05991031178177048,0.018258662081814404,0.0825844544360612,,,,,,,,,,,,,-0.23145535784560056,-0.5858017245230756,-0.18925896948697885,-0.5354279414712367,-0.14936303148328467,2459513000.0,78056000.0,200196000.0,225975000.0,,,,0.0,,2076584192.0,-0.489,,VIPCLOTHNG.NS,,,,,0.36002108854961623,3.7109375,,9.814453125,26.78746327130264,,94.384765625,52.59549461312438,18.498527968596665,24.68322351748606,10.853909465020577,38.18652849740933,3.744025491237387,23.374613003095977,22.42063492063492,25.13368983957219,30.279217789165344,Q1 (Lowest)
2026-04-30,3434.699951171875,3850.5,3293.800048828125,3488.199951171875,14666386,0.011031239102572865,-0.05443361053298679,,,0.34759315673738467,54.952931950135515,0.8647807496865536,,0,147555200000.0,56240300000.0,19473700000.0,22070300000.0,18841800000.0,8412900000.0,4318700000.0,5610500000.0,0.381147529873566,0.13197569451974583,0.0570152729283685,0.14957317668235345,,,,,,,,,,,,,0.20847334777498872,0.37907350337682777,0.31778776639496153,0.5009902049991972,0.34660394396446526,420447200000.0,26655200000.0,6570000000.0,75294000000.0,,,,0.0,,1657684099072.0,0.089,0.34,TVSMOTOR.NS,,,,,0.27111030225648325,85.791015625,,37.158203125,12.095984329089129,,13.18359375,43.24191968658178,97.49754661432777,76.48251393816523,80.50411522633745,95.59585492227978,37.2809346787042,96.95562435500516,78.42261904761905,46.470588235294116,60.04536756889358,Q5 (Highest)
2026-04-30,747.9500122070312,898.7999877929688,743.2000122070312,860.0499877929688,867233,0.18252440839829664,0.008146773421553233,,,0.37330695140590836,76.02832856103001,1.238213964064011,,0,2331020000.0,896010000.0,166780000.0,289470000.0,212480000.0,150020000.0,49690000.0,12770000.0,0.3843853763588472,0.0715480776655713,0.06435809216566138,0.12418168870279964,,,,,,,,,,,,,0.04812992922598225,-0.15719101123595502,0.19527840877042757,-0.03685156651258348,0.007307652155757349,8635430000.0,667470000.0,744140000.0,1233960000.0,,,,0.0,,18152411136.0,0.215,0.67,WINDLAS.NS,,,,,0.3346038715630057,81.201171875,,55.029296875,70.71498530852107,,76.318359375,79.82370225269344,49.95093228655544,45.565129244804865,66.30658436213992,30.72538860103627,51.88528943175783,46.388028895768834,40.823412698412696,46.95187165775401,56.112276857629624,Q4 (High)
